,DATE,TEC
385,2020-10-17 00:15:00,157
386,2020-10-17 00:30:00,151
387,2020-10-17 00:45:00,139
388,2020-10-17 01:00:00,109
389,2020-10-17 01:15:00,98
390,2020-10-17 01:30:00,96
391,2020-10-17 01:45:00,86
392,2020-10-17 02:00:00,86
393,2020-10-17 02:15:00,80
394,2020-10-17 02:30:00,98
395,2020-10-17 02:45:00,107
396,2020-10-17 03:00:00,121
397,2020-10-17 03:15:00,135
398,2020-10-17 03:30:00,156
399,2020-10-17 03:45:00,140
400,2020-10-17 04:00:00,102
401,2020-10-17 04:15:00,95
402,2020-10-17 04:30:00,102
403,2020-10-17 04:45:00,92
404,2020-10-17 05:00:00,103
405,2020-10-17 05:15:00,94
406,2020-10-17 05:30:00,82
407,2020-10-17 05:45:00,71
408,2020-10-17 06:00:00,97
409,2020-10-17 06:15:00,94
410,2020-10-17 06:30:00,87
411,2020-10-17 06:45:00,92
412,2020-10-17 07:00:00,104
413,2020-10-17 07:15:00,122
414,2020-10-17 07:30:00,120
415,2020-10-17 07:45:00,118
416,2020-10-17 08:00:00,104
417,2020-10-17 08:15:00,68
418,2020-10-17 08:30:00,76
419,2020-10-17 08:45:00,91
420,2020-10-17 09:00:00,87
421,2020-10-17 09:15:00,91
422,2020-10-17 09:30:00,87
423,2020-10-17 09:45:00,86
424,2020-10-17 10:00:00,102
425,2020-10-17 10:15:00,100
426,2020-10-17 10:30:00,107
427,2020-10-17 10:45:00,114
428,2020-10-17 11:00:00,101
429,2020-10-17 11:15:00,51
430,2020-10-17 11:30:00,55
431,2020-10-17 11:45:00,71
432,2020-10-17 12:00:00,76
433,2020-10-17 12:15:00,87
434,2020-10-17 12:30:00,96
435,2020-10-17 12:45:00,99
436,2020-10-17 13:00:00,101
437,2020-10-17 13:15:00,78
438,2020-10-17 13:30:00,70
439,2020-10-17 13:45:00,83
440,2020-10-17 14:00:00,90
441,2020-10-17 14:15:00,109
442,2020-10-17 14:30:00,97
443,2020-10-17 14:45:00,79
444,2020-10-17 15:00:00,82
445,2020-10-17 15:15:00,101
446,2020-10-17 15:30:00,100
447,2020-10-17 15:45:00,118
448,2020-10-17 16:00:00,116
449,2020-10-17 16:15:00,113
450,2020-10-17 16:30:00,116
